Economy,Real 2017 GDP (US$MM),Agriculture (% of Real GDP)
Mauritania,17280,0.2780
Togo,12970,0.2880
Bahamas,12060,0.0230
Eswatini,11600,0.0650
Sierra Leone,11550,0.6070
New Caledonia,11110,0.0140
Montenegro,11080,0.0750
Eritrea,9402,0.1170
Suriname,8688,0.1160
Fiji,8629,0.1350
Burundi,8007,0.3950
Monaco,7672,0.0000
Timor-Leste,7426,0.0910
Bhutan,7205,0.1620
Maldives,6901,0.0300
Isle of Man,6792,0.0100
Lesotho,6656,0.0580
Guyana,6301,0.1540
Bermuda,6127,0.0090
Liberia,6112,0.3400
Jersey,5569,0.0200
Gambia,5556,0.2040
French Polynesia,5490,0.0250
Barbados,5218,0.0150
Liechtenstein,4978,0.0700
Aruba,4158,0.0040
Cabo Verde,3777,0.0890
Djibouti,3640,0.0240
Guernsey,3465,0.0300
Central African Republic,3390,0.4320
Andorra,3327,0.1190
Belize,3218,0.1030
Guinea-Bissau,3171,0.5000
Curaçao,3128,0.0070
Seychelles,2750,0.0250
Saint Lucia,2542,0.0290
Cayman Islands,2507,0.0030
Greenland,2413,0.1590
Antigua and Barbuda,2398,0.0180
San Marino,2064,0.0010
Gibraltar,2044,0.0000
Faroe Islands,2001,0.1800
Grenada,1634,0.0680
Saint Kitts and Nevis,1550,0.0110
Solomon Islands,1330,0.3430
Comoros,1319,0.4770
Saint Vincent and the Grenadines,1265,0.0710
Northern Mariana Islands,1242,0.0170
Samoa,1137,0.1040
Dominica,783,0.2230
Vanuatu,772,0.2730
Sao Tome and Principe,686,0.1180
American Samoa,658,0.2740
Turks and Caicos Islands,632,0.0050
Tonga,591,0.1990
Saint Martin (French part),562,0.0100
"Virgin Islands, British",500,0.0020
Sint Maarten (Dutch part),366,0.0040
"Micronesia, Federated States of",348,0.2630
Cook Islands,300,0.0510
Palau,264,0.0300
Saint Pierre and Miquelon,261,0.0200
Kiribati,227,0.2300
Marshall Islands,196,0.0440
Anguilla,175,0.0300
Montserrat,167,0.0190
Nauru,160,0.0610
Tuvalu,42,0.2450
Niue,10,0.2350
